step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,prob_action_0,prob_action_1,prob_action_2,prob_action_3,prob_action_4,prob_action_5,prob_action_6,prob_action_7,prob_action_8,prob_action_9,prob_action_10,prob_action_11,max_prob,max_prob_action,policy_entropy,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_total_ues,feat_nb_resources
11,A2C,A2C_Q,SingleObjective_PolicyBased,2,5,5,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 5): -51.5622. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.227236725,-2.473957652,-18.08760877,-7.340756893,44.22145080566406,-51.56220627,0.099631,0.09944,0.062477,0.061125,0.100206,0.101901,0.050453,0.100702,0.084536,0.096376,0.05571,0.087443,0.101901,5,2.456758,18,184.5,24,108.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,30.78710938,0.7801786065101624,5.40625,0.081978932,142,277.5714416503906,0,1027,32,7
12,A2C,A2C_Q,SingleObjective_PolicyBased,8,5,5,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 5): +9.5999. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.277221052,-2.478170783,-18.08675416,54.01694869995117,44.41704559326172,9.599903106689453,0.100602,0.100344,0.061104,0.059868,0.101185,0.10278,0.048805,0.101952,0.083793,0.098419,0.05393,0.087219,0.10278,5,2.453091,16,182.5,24,108.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,33.5859375,1.5522935390472412,5.41015625,0.081978932,142,277.5714416503906,0,1026.857177734375,34,7
13,A2C,A2C_Q,SingleObjective_PolicyBased,8,5,5,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 5): +10.5542. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.12038382,-22.47402778,-39.58773492,54.279815673828125,43.72559738,10.554218292236328,0.100639,0.100376,0.061046,0.059824,0.101217,0.102801,0.048742,0.102004,0.083741,0.098559,0.053854,0.087198,0.102801,5,2.452936,18,184.5,20,100.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,36.38476563,1.5594635009765625,5.41015625,0.081978932,142,277.5714416503906,0,1026.7142333984375,35,7
14,A2C,A2C_Q,SingleObjective_PolicyBased,11,5,5,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 5): -26.3483. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.227820099,-0.063930846,-18.08756867,18.84520912,45.193538665771484,-26.34832954,0.100639,0.100376,0.061046,0.059824,0.101217,0.102801,0.048742,0.102004,0.083741,0.098559,0.053854,0.087198,0.102801,5,2.452936,24,194.625,14,90.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,39.18359375,1.5524057149887085,5.41015625,0.081978932,142,277.5714416503906,0,1026.7142333984375,35,7
15,A2C,A2C_Q,SingleObjective_PolicyBased,6,5,5,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 5): -84.3852. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-1.874635765,-18.08854947,-38.46506882,45.92013168334961,-84.3852005,0.099614,0.099304,0.062756,0.061779,0.099833,0.101702,0.051229,0.100485,0.084536,0.095573,0.05633,0.08686,0.101702,5,2.457982,24,194.625,14,90.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,41.98242188,0.008804321,0.017745972,0.081978932,141,277.4285583496094,0,1026.7142333984375,34,7
16,A2C,A2C_Q,SingleObjective_PolicyBased,11,5,5,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 5): -26.0880. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.17523679,-21.86655833,-39.58953031,18.666820526123047,44.75477600097656,-26.08795547,0.112711,0.112576,0.040652,0.051857,0.113631,0.115365,0.039984,0.114608,0.052392,0.112905,0.050381,0.082938,0.115365,5,2.406642,24,194.625,16,96.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,44.78125,0.7878750562667847,5.40625,0.081978932,141,277.4285583496094,0,1026.5714111328125,33,7
17,A2C,A2C_Q,SingleObjective_PolicyBased,0,5,5,0,"Action 0 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 0 vs highest-logit action (action 5): -75.2790. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-10.17523679,-11.86690664,-29.59051119,-30.17442322,45.104576110839844,-75.27899933,0.112711,0.112576,0.040652,0.051857,0.113631,0.115365,0.039984,0.114608,0.052392,0.112905,0.050381,0.082938,0.115365,5,2.406642,24,194.625,16,96.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,47.58007813,0.780305028,5.40625,0.081978932,141,277.4285583496094,0,1026.5714111328125,33,7
18,A2C,A2C_Q,SingleObjective_PolicyBased,7,5,5,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 5): -90.9253. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.227820099,-1.874090078,-18.09011564,-45.46649551,45.458797454833984,-90.92529297,0.112711,0.112576,0.040652,0.051857,0.113631,0.115365,0.039984,0.114608,0.052392,0.112905,0.050381,0.082938,0.115365,5,2.406642,24,194.625,16,96.625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,50.37890625,0.7806162238121033,5.40625,0.081978932,141,277.4285583496094,0,1026.5714111328125,32,7
19,A2C,A2C_Q,SingleObjective_PolicyBased,8,5,5,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 5): +8.4299. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.2278201,-21.86634663,-39.59109656,53.585269927978516,45.15538024902344,8.429889678955078,0.112711,0.112576,0.040652,0.051857,0.113631,0.115365,0.039984,0.114608,0.052392,0.112905,0.050381,0.082938,0.115365,5,2.406642,20,186.5,18,98.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,53.17773438,0.7874031066894531,5.40625,0.081978932,141,277.28570556640625,0,1026.5714111328125,31,7
20,A2C,A2C_Q,SingleObjective_PolicyBased,7,5,5,0,"Action 7 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 7 vs highest-logit action (action 5): -91.2186. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-21.89517605,-39.59207752,-45.74263763,45.475982666015625,-91.2186203,0.112711,0.112576,0.040652,0.051857,0.113631,0.115365,0.039984,0.114608,0.052392,0.112905,0.050381,0.082938,0.115365,5,2.406642,20,186.5,18,98.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,55.9765625,0.7801262736320496,5.40625,0.081978932,141,277.28570556640625,0,1026.5714111328125,31,7
21,A2C,A2C_Q,SingleObjective_PolicyBased,9,9,5,1,"Action 9 was executed and matches the highest-logit action (action 9). TD-trained Q-value vs next-best action 5: +15.9363. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.063477353,-18.09122023,61.45088195800781,45.514549255371094,15.936332702636719,0.084248,0.133411,0.040905,0.051795,0.134862,0.136853,0.04064,0.083862,0.044563,0.13689,0.055515,0.056455,0.13689,9,2.375272,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,58.77539063,0.8072079420089722,5.40625,0.081978932,141,277.28570556640625,0,1026.5714111328125,32,7
22,A2C,A2C_Q,SingleObjective_PolicyBased,9,9,5,1,"Action 9 was executed and matches the highest-logit action (action 9). TD-trained Q-value vs next-best action 5: +21.2135. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.06165809,-21.86656723,-39.59220119,63.864681243896484,42.651206970214844,21.21347427368164,0.084248,0.133411,0.040905,0.051795,0.134862,0.136853,0.04064,0.083862,0.044563,0.13689,0.055515,0.056455,0.13689,9,2.375272,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,61.57421875,0.008736202,0.017333984,0.081978932,141,277.1428527832031,0,1026.5714111328125,32,7
23,A2C,A2C_Q,SingleObjective_PolicyBased,0,9,9,0,"Action 0 was executed via stochastic sampling; the highest-logit action (action 9) was not chosen. TD-trained Q-value of action 0 vs highest-logit action (action 9): -93.5028. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-10.06165809,-11.86655166,-29.5931822,-29.99362183,63.50920486450195,-93.50282288,0.084248,0.133411,0.040905,0.051795,0.134862,0.136853,0.04064,0.083862,0.044563,0.13689,0.055515,0.056455,0.13689,9,2.375272,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,64.37304688,0.7803665995597839,5.41015625,0.081978932,141,277.1428527832031,0,1026.5714111328125,32,7
24,A2C,A2C_Q,SingleObjective_PolicyBased,0,9,9,0,"Action 0 was executed via stochastic sampling; the highest-logit action (action 9) was not chosen. TD-trained Q-value of action 0 vs highest-logit action (action 9): -93.2017. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-10.06165809,-11.8668722,-29.59416326,-30.08240891,63.11932373046875,-93.20173645,0.084248,0.133411,0.040905,0.051795,0.134862,0.136853,0.04064,0.083862,0.044563,0.13689,0.055515,0.056455,0.13689,9,2.375272,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,67.171875,0.7801268696784973,5.41015625,0.081978932,141,277.1428527832031,0,1026.5714111328125,33,7
25,A2C,A2C_Q,SingleObjective_PolicyBased,0,9,9,0,"Action 0 was executed via stochastic sampling; the highest-logit action (action 9) was not chosen. TD-trained Q-value of action 0 vs highest-logit action (action 9): -92.9073. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-10.06165809,-11.86685079,-29.59514437,-30.20449257,62.702842712402344,-92.90733337,0.084248,0.133411,0.040905,0.051795,0.134862,0.136853,0.04064,0.083862,0.044563,0.13689,0.055515,0.056455,0.13689,9,2.375272,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,69.97070313,0.7806140184402466,5.41015625,0.081978932,141,277.1428527832031,0,1026.5714111328125,34,7
26,A2C,A2C_Q,SingleObjective_PolicyBased,11,5,5,0,"Action 11 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 11 vs highest-logit action (action 5): -26.1511. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-1.866791688,-18.09337216,18.313255310058594,44.46434783935547,-26.15109253,0.062137,0.147207,0.042815,0.053479,0.148714,0.150907,0.043535,0.089642,0.046015,0.094157,0.061871,0.059522,0.150907,5,2.371886,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,72.76953125,0.7803780436515808,5.41015625,0.081978932,141,277.1428527832031,0,1026.5714111328125,34,7
27,A2C,A2C_Q,SingleObjective_PolicyBased,4,5,5,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 5): -76.3532. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-2.474119138,-18.09435322,-31.16290283,45.190284729003906,-76.35318756,0.062137,0.147207,0.042815,0.053479,0.148714,0.150907,0.043535,0.089642,0.046015,0.094157,0.061871,0.059522,0.150907,5,2.371886,16,178.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,75.56835938,0.7805448174476624,5.41015625,0.081978932,140,277,0,1026.5714111328125,34,7
28,A2C,A2C_Q,SingleObjective_PolicyBased,6,5,5,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 5): -85.4310. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-1.874228547,-18.09533434,-40.20756149,45.22345733642578,-85.43101501,0.062137,0.147207,0.042815,0.053479,0.148714,0.150907,0.043535,0.089642,0.046015,0.094157,0.061871,0.059522,0.150907,5,2.371886,12,174.375,28,116.9375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.578125,78.3671875,1.5523736476898193,5.41015625,0.081978932,140,277,0,1026.4285888671875,36,7
29,A2C,A2C_Q,SingleObjective_PolicyBased,5,5,4,1,"Action 5 was executed and matches the highest-logit action (action 5). TD-trained Q-value vs next-best action 4: +75.7760. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.06165809,-21.8672214,-39.5963155,43.922019958496094,-31.85399246,75.77601623535156,0.062137,0.147207,0.042815,0.053479,0.148714,0.150907,0.043535,0.089642,0.046015,0.094157,0.061871,0.059522,0.150907,5,2.371886,14,176.375,26,114.875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.578125,81.16601563,0.7875006794929504,5.40625,0.081978932,140,277,0,1026.2857666015625,34,7
30,A2C,A2C_Q,SingleObjective_PolicyBased,3,5,5,0,"Action 3 was executed via stochastic sampling; the highest-logit action (action 5) was not chosen. TD-trained Q-value of action 3 vs highest-logit action (action 5): -57.2368. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-0.064394864,-18.0972967,-12.76664734,44.47018814086914,-57.23683548,0.062137,0.147207,0.042815,0.053479,0.148714,0.150907,0.043535,0.089642,0.046015,0.094157,0.061871,0.059522,0.150907,5,2.371886,18,184.5,22,106.75,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.578125,83.96484375,0.78091377,5.41015625,0.081978932,140,277,0,1026.2857666015625,36,7
31,A2C,A2C_Q,SingleObjective_PolicyBased,1,1,5,1,"Action 1 was executed and matches the highest-logit action (action 1). TD-trained Q-value vs next-best action 5: -6.8773. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.267808543,-18.09493489,37.83450698852539,44.711822509765625,-6.877315521,0.06242,0.180078,0.041924,0.051327,0.131428,0.145699,0.032887,0.098724,0.044753,0.098348,0.067233,0.045178,0.180078,1,2.344049,18,184.5,20,104.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.578125,86.76367188,0.008638109,0.0154953,0.081978932,140,276.8571472167969,0,1026.2857666015625,34,7
32,A2C,A2C_Q,SingleObjective_PolicyBased,6,1,1,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 1) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 1): -75.8772. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.230249288,-18.09591603,-38.51203537,37.365150451660156,-75.87718201,0.06242,0.180078,0.041924,0.051327,0.131428,0.145699,0.032887,0.098724,0.044753,0.098348,0.067233,0.045178,0.180078,1,2.344049,20,186.5,20,104.6875,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.578125,89.5625,0.043374199,0.193359375,0.081978932,140,276.71429443359375,0,1026.2857666015625,35,7
